ImageURL,Name,Debut_Date,Group,Generation,Branch,Birthday,Height
https://static.miraheze.org/hololivewiki/thumb/7/74/Tokino_Sora_-_Main_Page_Icon.png/96px-Tokino_Sora_-_Main_Page_Icon.png,Tokino Sora,2017,Hololive,0th,Japan,05/15,160cm / 5ft 3in
https://static.miraheze.org/hololivewiki/thumb/6/60/Roboco_-_Main_Page_Icon.png/96px-Roboco_-_Main_Page_Icon.png,Roboco,2018,Hololive,0th,Japan,05/23,154cm / 5ft 1in
https://static.miraheze.org/hololivewiki/thumb/5/5e/AZKi_-_Main_Page_Icon.png/96px-AZKi_-_Main_Page_Icon.png,AZKi,2018,Hololive,0th,Japan,07/01,163cm / 5ft 4in
https://static.miraheze.org/hololivewiki/thumb/9/96/Sakura_Miko_-_Main_Page_Icon.png/96px-Sakura_Miko_-_Main_Page_Icon.png,Sakura Miko,2018,Hololive,0th,Japan,03/05,152cm / 4ft 12in
https://static.miraheze.org/hololivewiki/thumb/f/f2/Hoshimachi_Suisei_-_Main_Page_Icon.png/96px-Hoshimachi_Suisei_-_Main_Page_Icon.png,Hoshimachi Suisei,2018,Hololive,0th,Japan,03/22,160cm / 5ft 3in
https://static.miraheze.org/hololivewiki/thumb/1/1b/Shirakami_Fubuki_-_Main_Page_Icon.png/96px-Shirakami_Fubuki_-_Main_Page_Icon.png,Shirakami Fubuki,2018,Hololive,1st,Japan,10/05,160cm / 5ft 3in
https://static.miraheze.org/hololivewiki/thumb/d/d9/Natsuiro_Matsuri_-_Main_Page_Icon.png/96px-Natsuiro_Matsuri_-_Main_Page_Icon.png,Natsuiro Matsuri,2018,Hololive,1st,Japan,07/22,152cm / 4ft 12in
https://static.miraheze.org/hololivewiki/thumb/f/f7/Aki_Rosenthal_-_Main_Page_Icon.png/96px-Aki_Rosenthal_-_Main_Page_Icon.png,Aki Rosenthal,2018,Hololive,1st,Japan,02/17,162cm / 5ft 4in
https://static.miraheze.org/hololivewiki/thumb/5/50/Akai_Haato_-_Main_Page_Icon.png/96px-Akai_Haato_-_Main_Page_Icon.png,Akai Haato,2018,Hololive,1st,Japan,08/10,154cm / 5ft 1in
https://static.miraheze.org/hololivewiki/thumb/5/57/Minato_Aqua_-_Main_Page_Icon.png/96px-Minato_Aqua_-_Main_Page_Icon.png,Minato Aqua,2018,Hololive,2nd,Japan,12/01,148cm / 4ft 10in
https://static.miraheze.org/hololivewiki/thumb/4/4d/Murasaki_Shion_-_Main_Page_Icon.png/96px-Murasaki_Shion_-_Main_Page_Icon.png,Murasaki Shion,2018,Hololive,2nd,Japan,12/08,145cm / 4ft 9in
https://static.miraheze.org/hololivewiki/thumb/0/05/Nakiri_Ayame_-_Main_Page_Icon.png/96px-Nakiri_Ayame_-_Main_Page_Icon.png,Nakiri Ayame,2018,Hololive,2nd,Japan,12/13,152cm / 4ft 12in
https://static.miraheze.org/hololivewiki/thumb/6/69/Yuzuki_Choco_-_Main_Page_Icon.png/96px-Yuzuki_Choco_-_Main_Page_Icon.png,Yuzuki Choco,2018,Hololive,2nd,Japan,02/14,165cm / 5ft 5in
